entry_id,hospital_name,hospital_lat,hospital_lng,speciality,general_beds,icu_beds,ventilators,ambulance_type_needed,symptom,severity,traffic_level,waiting_time_min
1,CritiCare Hospital,18.95639415897193,72.85146089076785,Burns,18,5,12,BLS,breathing difficulty,severe,Moderate,93
2,Bombay Hospital,19.102229671530512,72.95890161259763,Trauma,117,25,7,BLS,chest pain,severe,High,48
3,Cooper Hospital,19.166783118233706,72.83540457941274,General Medicine,120,27,10,Cardiac,vomiting,moderate,Moderate,51
4,Saifee Hospital,19.029710790331894,72.80809581219837,Cardiology,147,41,11,Cardiac,bleeding,severe,High,18
5,Wockhardt Hospital Mumbai Central,19.106824171832695,72.8369965634083,Pulmonology,49,39,8,ICU,vomiting,moderate,Moderate,100
6,Dr. LH Hiranandani Hospital,18.988641826618572,72.85611748711112,Pediatrics,133,41,4,ALS,unconscious,severe,Moderate,105
7,Terna Hospital,19.20249350609226,72.83056734883102,Orthopedics,25,14,11,ALS,bleeding,severe,High,103
8,Reliance Hospital,18.921590040943578,72.84266202260412,General Medicine,46,19,3,ALS,unconscious,severe,High,72
9,SRV Hospital Goregaon,19.11756572315018,72.80972182974722,Orthopedics,59,2,14,BLS,high blood pressure,moderate,Low,10
10,Lilavati Hospital,18.893403895877128,72.85237102972492,Cardiology,68,12,12,Cardiac,fracture,moderate,High,119
11,Cooper Hospital,19.220062390504207,72.82856946717266,Gynecology,124,28,2,ICU,breathing difficulty,severe,Low,90
12,Dr. LH Hiranandani Hospital,19.11076774823775,72.9767640496513,Neurology,11,19,14,BLS,vomiting,moderate,Low,100
13,Jaslok Hospital,19.260736599133725,72.92728992892678,General Medicine,60,48,12,ICU,bleeding,severe,High,53
14,Lilavati Hospital,19.274278456016358,72.81611202012043,Cardiology,92,33,17,ICU,vomiting,moderate,Low,18
15,Bombay Hospital,18.97443796534273,72.92534169344425,Trauma,47,45,7,Cardiac,vomiting,moderate,Moderate,82
16,Tata Memorial Hospital,19.291879826984687,72.91970523074964,General Medicine,27,47,6,BLS,dizziness,mild,Low,74
17,Hinduja Hospital Mahim,19.118794438911582,72.87475266775625,Burns,4,15,2,ICU,breathing difficulty,severe,Low,23
18,Bombay Hospital,18.90582368664381,72.77200053286019,Neurology,139,41,13,Cardiac,high blood pressure,moderate,Low,12
19,Nanavati Max Hospital,19.232375964152737,72.82157206448703,Burns,47,5,7,ICU,fever,mild,High,102
20,Cooper Hospital,19.236720531736918,72.91791827408514,Pediatrics,89,30,4,ICU,unconscious,severe,High,47
21,Fortis Hospital Mulund,19.106193995070157,72.92280115431733,Pediatrics,34,19,12,BLS,dizziness,mild,Moderate,30
22,Nanavati Max Hospital,19.263702689300473,72.96217658224234,Trauma,74,2,2,ALS,dizziness,mild,High,70
23,Bhaktivedanta Hospital,19.162731958726024,72.77732365085305,Cardiology,138,5,5,ALS,vomiting,moderate,High,10
24,Hinduja Hospital Mahim,19.298133536847462,72.76350041177622,Burns,127,1,1,BLS,bleeding,severe,Low,36
25,SevenHills Hospital,19.141447883237902,72.75984165077088,Pediatrics,142,28,4,BLS,vomiting,moderate,High,24
26,Jaslok Hospital,19.292530552290042,72.85855628616771,Pediatrics,27,49,5,ICU,unconscious,severe,High,19
27,SL Raheja Hospital,19.1750140995058,72.9518848703507,Trauma,88,43,0,BLS,fever,mild,High,22
28,Wockhardt Hospital Mumbai Central,18.891058022165165,72.913899981569,Trauma,48,24,5,Cardiac,breathing difficulty,severe,Low,32
29,Bombay Hospital,19.165725465107766,72.85309989757515,Pulmonology,92,49,15,ALS,dizziness,mild,High,112
30,Saifee Hospital,18.937359811089298,72.91335794540649,Pediatrics,64,36,6,BLS,dizziness,mild,Moderate,120
31,Hiranandani Hospital Powai,19.110604417478118,72.94020876616027,Orthopedics,137,29,10,BLS,chest pain,severe,Moderate,83
32,Wockhardt Hospital Mumbai Central,19.119107901621135,72.8813392643662,Cardiology,105,5,2,ICU,chest pain,severe,Low,54
33,Terna Hospital,19.073339844111125,72.89585376785607,Pulmonology,145,28,10,Cardiac,headache,mild,Low,6
34,Nanavati Max Hospital,19.19500753858895,72.78668937523774,Trauma,104,49,15,BLS,bleeding,severe,Moderate,55
35,Breach Candy Hospital,19.16018685530606,72.75379701767959,Gynecology,13,19,1,Cardiac,dizziness,mild,Low,54
36,Shushrusha Hospital,19.291264744133965,72.94653964360813,Trauma,18,20,1,Cardiac,bleeding,severe,Moderate,8
37,Shushrusha Hospital,18.95380687809467,72.85160226411114,Gynecology,102,30,18,Cardiac,headache,mild,High,106
38,Shivaji Park Hospital,18.951353013850778,72.85631201844957,Pediatrics,120,10,19,ALS,unconscious,severe,Moderate,88
